theta,eval_steps,time,total_evaluation_steps,outer_iterations,similarity
1.0,5,14.356189966201782,323,272,0.9952516619183286
1.0,10,13.684834003448486,329,257,0.9287749287749287
1.0,20,12.614062786102295,325,233,0.9449192782526116
1.0,50,13.81526780128479,367,253,0.9857549857549858
1.0,100,13.708366870880127,367,253,0.9857549857549858
0.1,5,13.330517292022705,323,248,0.9952516619183286
0.1,10,11.130625009536743,329,202,0.9287749287749287
0.1,20,9.822839975357056,325,175,0.9430199430199431
0.1,50,10.453051090240479,391,184,0.9971509971509972
0.1,100,10.610882043838501,398,186,0.9971509971509972
0.001,5,11.712674617767334,323,217,0.9952516619183286
0.001,10,8.975093841552734,329,161,0.9287749287749287
0.001,20,6.135710000991821,325,102,0.9430199430199431
0.001,50,3.6095128059387207,462,37,0.9971509971509972
0.001,100,4.139883995056152,630,33,0.9981006647673314
1e-06,5,9.806270122528076,323,175,0.9952516619183286
1e-06,10,4.45550012588501,329,66,0.9287749287749287
1e-06,20,3.3012731075286865,442,34,0.9952516619183286
1e-06,50,4.86882209777832,843,34,0.9971509971509972
1e-06,100,5.6896092891693115,1171,26,0.9981006647673314
